ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (mm)","Ширина (mm)","Высота (mm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Видимость атрибута 2","Глобальный атрибут 2","Имя атрибута 3","Значение(-я) аттрибута(-ов) 3","Видимость атрибута 3","Глобальный атрибут 3","Имя атрибута 4","Значение(-я) аттрибута(-ов) 4","Видимость атрибута 4","Глобальный атрибут 4","Имя атрибута 5","Значение(-я) аттрибута(-ов) 5","Видимость атрибута 5","Глобальный атрибут 5","Мета: number-meters-packing","Мета: _number-meters-packing","Мета: price-packing","Мета: _price-packing"
261,simple,,"Плинтус МДФ Kronopol D3941 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3941 (2500*85*16)",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_VISION-_AURUM_3941.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
262,simple,,"Плинтус МДФ Kronopol D3482 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3482 (2500*85*16).",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_AURUM-_GUSTO_3482.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
267,simple,19,"Плинтус ПВХ Arbiton Indo 19 (2500*70*26)",1,0,visible,,"Плинтус ПВХ Arbiton Indo 19 (2500*70*26).",,,taxable,,1,,,0,0,,2500,70,26,1,,,290,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Arbiton_Indo_19.jpg,,,,,,,,,0,Материал,ПВХ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,116,field_60f553cc93d58
268,simple,D3483,"Плинтус МДФ Kronopol D3483 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3483 (2500*85*16)",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_AURUM-_GUSTO_3483.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
271,simple,05,"Плинтус ПВХ Arbiton Indo 05 (2500*70*26)",1,0,visible,,"Плинтус ПВХ Arbiton Indo 05 (2500*70*26).",,,taxable,,1,,,0,0,,2500,70,26,1,,,290,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Arbiton_Indo_05.jpg,,,,,,,,,0,Материал,ПВХ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,116,field_60f553cc93d58
272,simple,,"Плинтус МДФ Kronopol D3484 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3484 (2500*85*16)",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_AURUM-_GUSTO_3484.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
279,simple,,"Плинтус МДФ Kronopol D3491 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3491 (2500*85*16)",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_AURUM-_GUSTO_3491.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
280,simple,04,"Плинтус ПВХ Arbiton Indo 04 (2500*70*26)",1,0,visible,,"Плинтус ПВХ Arbiton Indo 04 (2500*70*26).",,,taxable,,1,,,0,0,,2500,70,8,1,,,290,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Arbiton_Indo_04.jpg,,,,,,,,,0,Материал,ПВХ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,116,field_60f553cc93d58
284,simple,,"Плинтус МДФ Kronopol D3493 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3493 (2500*85*16)",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_AURUM-_GUSTO_3493.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
294,simple,09,"Плинтус ПВХ Arbiton Indo 09 (2500*70*26)",1,0,visible,,"Плинтус ПВХ Arbiton Indo 09 (2500*70*26).",,,taxable,,1,,,0,0,,2500,70,26,1,,,290,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Arbiton_Indo_09.jpg,,,,,,,,,0,Материал,ПВХ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,116,field_60f553cc93d58
